name,emotion
Ses03M_script01_2_M010,4
Ses03M_impro05b_M012,10
Ses03M_impro08b_M020,6
Ses02M_script01_2_F013,8
Ses02F_script02_1_M018,10
Ses03F_impro04_M020,10
Ses01M_impro07_M003,2
Ses04M_script01_1_M028,10
Ses02M_impro03_M020,2
Ses04M_script03_2_M006,10
Ses01F_script02_2_F029,4
Ses04M_impro06_F005,8
Ses01F_impro04_F024,4
Ses01F_script02_1_M031,6
Ses04F_script02_2_M003,10
Ses01F_impro05_F007,4
Ses04F_impro03_M020,6
Ses04F_impro03_F005,2
Ses02F_script01_1_F023,4
Ses03M_script01_1_F027,10
Ses02M_script03_2_F008,4
Ses04M_impro07_F009,2
Ses05M_script01_3_M031,10
Ses05M_impro06_M017,8
Ses02M_script01_3_F025,8
Ses01F_script01_2_F003,0
Ses02M_script02_2_M031,4
Ses03M_script02_2_F041,8
Ses03M_impro03_M006,10
Ses02F_script01_1_F034,4
Ses05F_impro01_F006,4
Ses03M_script03_1_F027,10
Ses02F_script01_3_M031,8
Ses02M_impro03_F019,10
Ses01F_impro05_M021,10
Ses02F_script02_1_M002,2
Ses05F_impro04_M024,6
Ses01M_impro02_F006,4
Ses01M_script01_3_F030,5
Ses01F_impro05_M011,6
Ses04F_impro07_M078,10
Ses05M_script01_1b_F028,8
Ses03F_impro02_F000,6
Ses04M_script03_2_F028,0
Ses05F_impro03_M046,2
Ses03F_impro07_M031,10
Ses05F_impro05_F041,0
Ses01F_impro03_F011,10
Ses04F_impro03_M011,10
Ses03F_impro06_M010,8
Ses02M_script02_2_M033,10
Ses01M_impro07_F008,2
Ses02F_impro04_F002,4
Ses02M_script02_2_M009,4
Ses01M_script02_2_F041,10
Ses01F_script01_3_M018,10
Ses04F_script02_1_F003,10
Ses01M_script02_2_F045,5
Ses05F_script01_1_M003,8
Ses02M_impro05_F000,6
Ses04F_script01_1_M036,10
Ses05M_script03_1_M031,2
Ses04F_script03_1_M023,10
Ses01F_impro03_M023,5
Ses04M_script03_1_M024,10
Ses01F_script01_3_F001,6
Ses05F_impro04_M041,6
Ses03F_script03_2_M006,10
Ses02M_script03_2_F031,10
Ses05M_impro02_M005,10
Ses05M_impro03_M028,5
Ses04M_script01_1_M023,4
Ses03F_impro03_F000,10
Ses01F_script02_1_F019,4
Ses05M_impro03_F007,2
Ses04M_script03_2_M025,0
Ses05F_script03_1_F000,10
Ses03F_impro04_M002,6
Ses01M_script03_1_M012,5
Ses02M_impro01_F005,6
Ses02F_impro06_M004,6
Ses04F_script02_2_M032,4
Ses03M_impro01_M024,10
Ses03M_impro08a_F009,4
Ses02M_impro05_F018,6
Ses05M_script01_3_F011,10
Ses05F_script02_1_F018,4
Ses05F_impro07_M014,2
Ses01M_impro05_F011,6
Ses05F_script03_1_F025,2
Ses04M_impro04_F009,6
Ses04F_impro02_F024,8
Ses01M_impro06_M016,8
Ses05M_script01_1_F007,10
Ses04F_impro03_F045,2
Ses05M_impro04_F022,6
Ses04F_script03_2_F023,0
Ses05M_script02_1_F010,10
Ses04F_script02_2_M016,4
Ses05M_script02_2_M033,9
Ses04M_script01_1_M039,10
Ses01M_script03_2_M036,0
Ses05F_script01_3_F004,10
Ses03F_script01_1_F047,4
Ses03M_script02_2_M014,6
Ses05M_impro07_M020,2
Ses03M_script03_2_F035,10
Ses05F_script01_1_M013,0
Ses05M_script01_1b_F020,10
Ses03M_impro07_M010,2
Ses03F_impro01_F007,4
Ses04M_impro03_F024,5
Ses02F_script03_2_M040,4
Ses05M_script01_2_M013,4
Ses05M_impro08_M010,6
Ses05F_script02_2_M003,6
Ses02M_script01_1_M000,10
Ses01F_impro02_F016,6
Ses03M_impro06_M001,8
Ses05F_script02_2_M020,2
Ses03F_impro05_F012,4
Ses04M_script03_1_F008,2
Ses05M_impro02_F018,10
Ses05F_impro05_F018,0
Ses04M_impro01_F015,4
Ses04M_impro03_M023,2
Ses04M_impro07_M010,5
Ses05F_impro06_M011,8
Ses05M_impro07_M024,2
Ses04M_impro05_M007,4
Ses01F_script03_2_M016,6
Ses05M_script01_1_M021,0
Ses04F_script03_1_M001,3
Ses04F_impro02_F002,8
Ses04F_script01_2_F000,0
Ses03F_script02_2_F040,8
Ses01F_script03_2_M012,4
Ses02F_script01_1_F027,6
Ses05M_impro05_F018,6
Ses05M_script02_2_F015,8
Ses02F_script01_3_F003,10
Ses05F_script02_1_F003,10
Ses01M_impro01_F029,10
Ses02F_impro07_F006,2
Ses05M_script01_1b_M036,0
Ses02F_script02_2_F000,6
Ses04F_impro05_M006,4
Ses03F_script02_2_M020,10
Ses02F_impro07_M031,10
Ses03F_script02_2_F045,5
Ses04M_impro08_F002,4
Ses05F_impro05_M016,6
Ses01F_script03_1_M012,10
Ses04F_script02_2_F043,5
Ses04M_script01_2_F011,0
Ses04M_impro08_F021,9
Ses03M_script03_2_F041,0
Ses02F_script01_1_F039,10
Ses04M_script03_1_M033,6
Ses04M_script03_1_F000,10
Ses01M_impro03_F019,2
Ses02F_impro05_F006,0
Ses04F_impro04_F028,4
Ses02M_impro06_M012,8
Ses04M_impro04_F006,6
Ses04F_impro07_F042,2
Ses04F_impro03_F008,10
Ses04F_impro03_M009,10
Ses05M_impro06_M002,8
Ses02M_impro01_M012,4
Ses05M_script02_2_M006,4
Ses02F_script02_1_M015,2
Ses03M_script03_2_F005,10
Ses03M_script02_2_M010,4
Ses03F_impro04_F024,8
Ses01F_script03_2_F022,0
Ses04M_script03_1_F026,2
Ses02F_script02_2_M023,6
Ses02F_script01_3_M012,10
Ses01F_impro04_M024,6
Ses02F_impro03_F029,5
Ses01F_script01_2_M002,10
Ses02M_script03_1_F014,10
Ses01M_script03_1_M009,10
Ses02M_impro05_M019,4
Ses03F_impro02_M026,10
Ses05M_impro02_F024,8
Ses05F_impro02_M041,8
Ses04F_script01_1_F004,8
Ses02F_impro07_F029,2
Ses05F_impro01_M023,4
Ses05F_impro03_M066,5
Ses05M_script03_1_M030,2
Ses05F_impro03_F044,10
Ses05M_impro07_M018,2
Ses04M_script01_2_F000,0
Ses03F_script03_2_M038,0
Ses04F_script03_2_F028,0
Ses04M_impro01_M013,4
Ses04F_script01_3_M011,5
Ses01M_script03_1_M027,10
Ses05F_impro02_F034,8
Ses03F_impro04_M011,6
Ses02M_impro01_F009,4
Ses04F_impro07_M074,10
Ses01M_impro05_M010,4
Ses03M_impro01_M014,0
Ses01F_script03_1_M000,3
Ses05F_script02_1_F016,6
Ses05M_impro02_F014,10
Ses04M_impro03_M010,10
Ses04F_impro07_M077,6
Ses03F_impro05_M010,4
Ses04M_script01_1_F018,0
Ses03F_impro02_M024,8
Ses03M_script02_2_F004,0
Ses04M_script01_2_F008,0
Ses03F_script02_1_M029,10
Ses01F_script01_1_M014,6
Ses02M_impro05_M023,4
Ses01F_impro01_F004,10
Ses02F_script02_1_M043,6
Ses01F_script01_1_F001,10
Ses05F_impro07_F018,10
Ses04F_impro02_F018,0
Ses05M_script01_1_M003,10
Ses03F_script01_3_M019,5
Ses03F_impro07_M035,5
Ses04F_impro04_F026,4
Ses01F_script01_1_M012,6
Ses05M_script02_1_F020,10
Ses03F_impro08_M026,4
Ses05M_impro03_F015,2
Ses05M_impro06_M008,8
Ses05M_script01_1b_F004,10
Ses05M_script01_1b_M031,0
Ses02M_script02_2_F042,5
Ses03F_script01_3_F029,8
Ses04M_impro03_M015,2
Ses04F_script01_1_F033,10
Ses04M_impro02_M012,4
Ses01F_script01_3_M001,6
Ses01M_script01_3_M031,8
Ses03F_script03_1_M022,2
Ses01M_script03_2_M026,0
Ses05M_impro02_F021,8
Ses04M_script02_2_F016,8
Ses05M_script01_1b_F006,10
Ses03F_impro04_M012,6
Ses01M_script01_1_F037,0
Ses02M_impro01_M000,4
Ses03F_impro01_F006,4
Ses02M_script01_1_F031,10
Ses02M_script01_2_F004,10
Ses03F_impro03_F003,10
Ses02M_impro07_F023,2
Ses04M_impro08_M006,6
Ses03F_script02_2_F043,5
Ses01F_script03_1_F019,10
Ses02M_script02_1_F008,4
Ses04M_impro04_F010,9
Ses01F_impro07_M015,2
Ses05F_impro03_F042,2
Ses01M_impro01_M005,4
Ses03M_impro02_M014,10
Ses04F_impro04_F002,4
Ses01F_impro01_M001,4
Ses03M_impro01_F019,4
Ses04F_script01_3_M003,10
Ses04M_script01_1_F014,10
Ses05M_impro04_F036,6
Ses02M_script01_3_M027,8
Ses04M_script01_3_M033,8
Ses01F_script01_2_M017,0
Ses03F_script03_1_F024,10
Ses02M_script03_1_M022,2
Ses04F_impro07_M067,6
Ses02F_impro07_F019,2
Ses05M_script01_1_F027,4
Ses01F_impro05_F013,10
Ses04M_script01_1_M006,10
Ses04M_impro02_F003,10
Ses01F_script01_2_M004,6
Ses01M_script03_2_M005,10
Ses01M_script03_1_M035,10
Ses05F_impro07_F034,2
Ses05F_impro01_M018,4
Ses05M_script01_2_M014,10
Ses02F_script01_3_F018,10
Ses03F_impro03_F008,2
Ses01F_impro05_M003,6
Ses03F_script01_1_M038,4
Ses02F_script01_1_M038,0
Ses02F_impro01_M007,4
Ses03F_impro02_M027,0
Ses04F_script02_2_M023,6
Ses03M_impro01_M026,4
Ses01F_script03_1_F005,5
Ses01M_script01_3_F028,10
Ses04F_impro03_M042,2
Ses04M_impro08_M013,6
Ses01M_impro04_F021,6
Ses02F_script01_2_F000,10
Ses01M_script02_1_F007,6
Ses03M_script03_2_M014,0
Ses03M_impro05a_M015,10
Ses03M_impro04_F011,10
Ses03M_impro02_F005,9
Ses05M_impro04_M040,0
Ses03M_script03_1_F030,10
Ses03M_script01_1_F029,10
Ses04M_impro05_F011,10
Ses04M_script03_2_F048,0
Ses04M_impro01_F011,4
Ses02F_script01_1_M042,4
Ses05F_impro03_M013,2
Ses01M_impro06_F005,8
Ses04M_script02_2_M017,4
Ses01F_impro02_F006,6
Ses01M_impro07_F030,10
Ses01F_script03_1_M006,10
Ses05F_impro03_M002,9
Ses03M_script02_2_F040,8
Ses05M_impro04_M005,4
Ses03F_impro08_M009,0
Ses05M_script03_1_F021,10
Ses04M_script01_1_M013,0
Ses04F_impro01_M004,4
Ses01F_script03_2_M027,0
Ses05F_impro06_F018,8
Ses01F_script02_2_M041,4
Ses01M_impro03_F025,2
Ses05F_impro08_F003,6
Ses04F_script01_1_F043,10
Ses02F_script03_2_M014,10
Ses03M_impro08a_F011,4
Ses05F_impro07_F036,2
Ses01M_impro06_M018,8
Ses02F_impro02_F009,8
Ses03F_script01_3_F027,8
Ses03F_script03_1_M012,10
Ses03M_script03_2_F028,0
Ses04M_script01_1_F010,4
Ses05M_script01_1_F025,6
Ses05M_script01_3_M004,10
Ses05M_script01_1_F022,0
Ses02F_impro08_F007,6
Ses04F_impro02_M000,8
Ses05F_script02_1_M029,2
Ses03M_impro01_M005,4
Ses02F_impro03_F008,10
Ses05F_script03_2_F003,6
Ses02F_impro01_F019,0
Ses03F_script01_1_M012,4
Ses04F_impro04_M027,4
Ses03M_script01_1_F006,10
Ses05M_script03_1_F005,2
Ses01M_script03_2_M007,10
Ses04M_script02_1_M025,10
Ses04F_script02_2_M036,10
Ses01F_impro03_F009,5
Ses01M_impro01_F014,10
Ses02M_script03_1_F029,5
Ses04M_script01_2_F006,0
Ses05M_impro05_M006,6
Ses03F_impro06_M006,8
Ses02M_script01_1_F029,4
Ses05F_impro04_F024,4
Ses02F_impro02_M008,4
Ses05F_impro06_F009,8
Ses05M_impro01_F019,4
Ses05M_script01_1_M024,4
Ses01M_script02_1_M009,6
Ses05M_script01_1_F017,10
Ses04F_script03_1_M026,10
Ses05M_script01_3_F010,8
Ses05M_script01_1_M036,0
Ses03F_script03_1_F026,5
Ses04F_impro03_F029,10
Ses04F_impro07_M033,6
Ses04F_impro06_M006,6
Ses02M_script01_3_F012,5
Ses04F_impro04_M033,6
Ses05F_script01_3_F023,8
Ses05F_script01_3_F024,6
Ses04M_impro02_M026,4
Ses04F_script01_3_M001,10
Ses04F_script01_2_F002,4
Ses05M_script01_1b_F000,8
Ses02M_impro02_F014,8
Ses04M_script01_3_M007,10
Ses02M_impro05_M003,6
Ses04F_impro06_M002,8
Ses02F_impro08_F000,6
Ses04M_script01_3_F021,10
Ses02M_impro07_M022,2
Ses04M_impro05_F039,4
Ses05M_impro07_F041,2
Ses01F_script02_2_M014,4
Ses04M_script01_1_F019,6
Ses02F_impro04_M014,4
Ses04F_script01_3_M017,10
Ses04F_impro03_F038,2
Ses05F_script01_1_F026,6
Ses04M_script03_2_M031,0
Ses03M_impro07_F015,10
Ses03M_impro02_M005,8
Ses02F_impro06_M015,6
Ses02F_script01_1_M023,0
Ses01M_impro07_M009,2
Ses02F_impro04_F017,10
Ses05F_script03_1_F002,10
Ses05M_script03_2_M034,0
Ses02F_script01_3_F005,10
Ses05F_impro02_M029,8
Ses04F_script02_2_F018,10
Ses04F_impro05_F009,0
Ses01M_script01_2_F000,0
Ses01M_script02_1_M017,2
Ses05F_script03_1_F009,10
Ses03M_impro02_F001,10
Ses04M_impro03_M001,10
Ses04M_script02_2_M027,4
Ses05F_impro04_F002,4
Ses01F_script02_1_F013,10
Ses02F_impro06_M005,6
Ses03M_impro08a_F013,0
Ses01F_impro07_M007,2
Ses05F_script02_1_M017,4
Ses03M_impro05b_F018,6
Ses05M_script02_1_M007,2
Ses02M_impro06_F011,8
Ses05F_script02_2_M035,5
Ses05M_script02_1_F014,4
Ses05M_script01_1_M015,4
Ses05F_impro07_M025,2
Ses04M_script03_2_F018,4
Ses05F_impro03_M032,2
Ses05F_impro04_M033,6
Ses01M_script03_1_M000,3
Ses05F_impro07_F014,2
Ses03F_impro03_F007,2
Ses04M_impro08_M009,4
Ses02M_script03_2_F018,4
Ses01F_impro04_M034,4
Ses04M_script03_2_F041,0
Ses01F_impro07_F001,10
Ses01F_script01_2_F004,0
Ses01M_script03_1_M036,10
Ses03F_script02_1_M000,2
Ses01F_script02_2_M030,10
Ses05F_script03_1_F023,10
Ses03M_script02_2_F000,0
Ses01M_script03_1_M001,3
Ses04M_script03_1_F002,3
Ses02F_impro03_F007,10
Ses03M_impro01_M001,4
Ses01M_script02_2_F036,8
Ses02M_impro08_M026,6
Ses03F_impro04_F018,4
Ses05M_impro07_M011,2
Ses03F_impro03_M013,10
Ses02F_script01_1_M043,6
Ses03M_impro03_F015,6
Ses02M_script03_1_F015,8
Ses02M_script03_2_M046,0
Ses03M_impro04_M023,4
Ses05F_script01_3_F009,5
Ses03M_impro06_F016,8
Ses02F_impro05_M006,6
Ses05M_script02_2_F036,10
Ses01F_script02_1_M041,10
Ses02M_impro08_F024,5
Ses05M_script03_1_F029,10
Ses05F_script02_2_F032,8
Ses04F_impro03_M016,10
Ses01F_impro04_F002,4
Ses04M_impro05_M024,4
Ses04F_impro08_F013,4
Ses03M_impro06_M018,8
Ses01M_script02_2_M024,10
Ses05M_impro02_M027,8
Ses05M_script01_1b_M011,10
Ses05F_impro06_F004,8
Ses03M_impro05a_M007,0
Ses01M_impro04_F024,4
Ses04F_impro08_M002,4
Ses02F_impro01_F004,4
Ses01M_script01_3_M015,10
Ses03F_impro03_F009,2
Ses01M_script03_2_M037,0
Ses04M_impro04_M004,6
Ses03F_script02_2_M037,9
Ses05M_script01_1b_M015,10
Ses05M_script01_1b_F030,9
Ses04M_script03_2_M039,10
Ses01F_script01_2_M003,4
Ses02M_impro04_M011,4
Ses01F_impro06_F000,10
Ses03F_impro05_M009,6
Ses04F_script01_1_M014,4
Ses03M_script03_2_M009,6
Ses03M_script02_1_M018,10
Ses01M_script03_2_M004,10
Ses04F_script03_2_F035,0
Ses01M_script01_3_M043,5
Ses03M_impro08b_M011,6
Ses05M_impro03_M030,5
Ses05M_script02_2_M022,4
Ses01F_script02_1_F007,0
Ses01M_impro07_M014,10
Ses04M_impro02_F010,4
Ses05M_impro07_M012,10
Ses03F_script01_1_F028,4
Ses02F_script01_3_M007,10
Ses01F_script01_3_F011,5
Ses01M_script01_1_M015,4
Ses01M_script03_1_F002,3
Ses05F_script01_1_M014,4
Ses05M_impro04_F016,6
Ses02F_impro08_F023,6
Ses03M_impro03_F008,10
Ses04F_script03_1_F027,10
Ses01M_script01_3_M018,2
Ses04M_impro07_M018,10
Ses03M_script02_2_F026,4
Ses04F_script01_1_F031,4
Ses04F_impro03_M033,6
Ses04F_script01_1_F019,0
Ses05F_impro08_M015,10
Ses04M_script01_1_F029,0
Ses03M_script01_3_F001,10
Ses01M_impro04_M023,0
Ses01F_script01_1_F037,0
Ses03F_impro03_M009,9
Ses04F_impro03_M031,6
Ses01M_script03_1_M025,10
Ses04F_impro06_M000,8
Ses03M_impro03_F005,2
Ses01M_script03_2_F012,10
Ses02M_script03_2_F011,6
Ses05F_script01_1_F035,4
Ses03M_impro05b_F004,6
Ses05M_impro08_F011,6
Ses03M_script02_1_F017,10
Ses05M_impro05_F005,6
Ses02M_script01_3_M006,10
Ses05F_impro03_M012,2
Ses04M_script03_2_F024,6
Ses02M_script01_2_M011,4
Ses03F_script01_3_M032,8
Ses01M_script03_2_F019,10
Ses02M_script01_1_F034,0
Ses04F_script01_1_F002,10
Ses03M_script02_2_F042,5
Ses03F_script01_3_M045,5
Ses05F_script03_2_M008,0
Ses01F_script01_1_M017,6
Ses05M_impro04_M030,4
Ses05F_script03_2_M039,0
Ses04F_impro08_M031,10
Ses03F_script03_2_M025,10
Ses03F_script01_1_F004,6
Ses05M_impro04_F032,6
Ses04M_impro01_M012,4
Ses04F_script02_1_M031,0
Ses03M_script03_2_F036,6
Ses03M_impro06_M025,8
Ses05M_script02_2_M015,10
Ses01M_impro06_M017,8
Ses04F_script01_2_M018,4
Ses05M_script01_1b_F031,0
Ses01M_impro06_F009,6
Ses03F_impro01_F005,4
Ses05F_script01_2_M001,6
Ses04M_script02_1_F003,0
Ses05M_impro05_M014,10
Ses02F_script03_2_M021,4
Ses02F_impro05_F020,4
Ses05F_impro03_M024,10
Ses03M_impro04_F010,2
Ses02F_script03_2_F024,4
Ses05F_script03_2_M030,4
Ses05M_impro04_M038,4
Ses02F_script02_1_F011,10
Ses04M_script03_2_F012,4
Ses01M_impro05_M021,0
Ses03M_script01_3_F015,5
Ses04F_impro03_F043,2
Ses03M_impro05b_M018,4
Ses04F_impro07_F005,2
Ses01M_impro05_F001,6
Ses03F_impro02_M022,4
Ses04F_impro08_M021,10
Ses03F_script01_3_F018,5
Ses03F_script03_2_M023,10
Ses01M_impro02_M004,10
Ses01M_script03_2_F004,10
Ses05M_script01_1b_M001,8
Ses05F_impro03_F021,10
Ses03M_impro02_F018,4
Ses04F_impro05_F004,0
Ses03F_impro07_F030,10
Ses01M_impro05_F009,10
Ses02F_impro01_M012,4
Ses03F_script03_2_F034,10
Ses04M_impro07_F023,6
Ses04M_impro05_M033,4
Ses02F_impro05_F017,4
Ses01M_script02_2_M009,10
Ses02M_impro03_F022,10
Ses03M_script03_1_M019,10
Ses04M_script03_1_F009,2
Ses04F_script03_2_F019,0
Ses01F_impro03_F008,5
Ses04M_script02_2_M010,10
Ses04M_script01_1_M025,4
Ses05M_script02_2_F009,0
Ses01M_impro02_F013,8
Ses02F_script01_1_M044,6
Ses03F_script02_1_M036,2
Ses02M_script01_2_M005,6
Ses02F_script02_1_M025,2
Ses04F_impro07_F009,2
Ses03M_impro03_F020,10
Ses04F_impro03_M013,10
Ses05F_script03_2_M013,0
Ses01F_script02_1_M038,2
Ses05F_impro06_M007,8
Ses05M_script01_1_F006,10
Ses01F_script03_2_M018,6
Ses02M_script01_2_F010,0
Ses05M_impro04_F010,6
Ses03M_impro03_M033,6
Ses05F_impro04_M019,4
Ses01F_impro04_F009,6
Ses03M_impro05a_M024,0
Ses02F_script01_1_F017,8
Ses02M_script03_1_F010,10
Ses05F_impro05_M004,6
Ses05F_script03_2_M028,10
Ses03M_impro05a_F012,6
Ses04F_script01_1_M029,0
Ses05M_impro06_F006,8
Ses05F_script01_3_F012,10
Ses05F_impro03_M000,2
Ses05M_script01_1_M012,4
Ses01M_impro05_M029,10
Ses02F_impro01_F001,9
Ses02M_script03_1_M016,8
Ses05M_impro08_M008,6
Ses01F_script01_1_F000,4
Ses01M_impro07_M007,2
Ses05M_script01_1b_M002,8
Ses05F_script01_1_M040,10
Ses03M_impro07_F007,2
Ses05F_impro08_F022,6
Ses01M_script01_1_F015,0
Ses03F_script02_2_F020,5
Ses04F_script02_2_M037,10
Ses03M_impro03_F039,10
Ses05M_script02_2_F031,8
Ses05M_impro06_M001,8
Ses05M_script03_2_F000,10
Ses01F_script01_1_F008,10
Ses01M_script03_1_M006,10
Ses02F_script01_1_F004,8
Ses02M_impro04_M013,4
Ses03F_script02_1_F005,10
Ses05F_script02_2_M040,5
Ses05F_script03_1_M017,2
Ses05M_impro02_M029,8
Ses05M_script03_2_F005,6
Ses03F_impro06_F006,8
Ses01F_script02_2_M032,4
Ses01M_impro02_M000,6
Ses03F_impro05_M000,4
Ses02M_impro06_F013,8
Ses04M_impro03_M006,5
Ses03M_script01_2_F007,10
Ses02M_impro01_F021,4
Ses05M_script02_1_F006,10
Ses03M_script01_1_F024,10
Ses03M_impro07_F005,9
Ses01M_script03_1_F029,10
Ses05M_script01_3_M012,9
Ses04M_impro06_M008,8
Ses02M_impro07_F017,5
Ses03M_script01_1_F038,0
Ses01M_impro02_M009,8
